,Country,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling,Status,Estimated road traffic death rate,Age-standardized suicide rates,Population using safely managed drinking-water services (%),Population using safely managed sanitation services (%),Region
36,Comoros,61.58125,240.9375,1.6875,0.1346666666666666,47.7314576225,76.46153846153847,62.625,18.25625,2.0,67.8125,4.832,66.9375,0.2812499999999999,630.38433406875,532200.6875,7.275,7.1625000000000005,0.3246249999999999,9.95625,Developing,26.755,9.34,20.582302631578948,15.728312500000001,Africa
37,Congo,59.04375,322.75,7.875,2.1733333333333333,0.0,50.77777777777778,1021.625,20.925000000000004,11.6875,52.4375,2.986666666666667,55.25,4.987499999999999,1471.9199822852975,8305022.777936508,8.4875,8.125,0.5283125,10.0875,Developing,26.378125,17.72375,35.450625,15.728312500000001,Africa
38,Costa Rica,78.59374999999999,69.375,1.0,3.924666666666667,972.3591498793749,79.3125,0.1875,46.72499999999999,1.0,69.9375,8.620000000000001,79.75,0.1,3957.22728625,2309299.4375,1.9625,1.90625,0.7369375,12.8375,Developing,15.564375,6.65375,78.5175,36.106875,Americas
39,Croatia,76.11875,89.0,0.0,12.448000000000002,1162.85632917,96.22222222222224,23.6875,52.35625,0.0,95.5,7.370666666666666,95.375,0.1,9056.7847190625,1159772.375,1.74375,1.7187499999999998,0.7890625000000001,13.8875,Developed,12.85125,14.148958333333333,81.99375,77.69,Europe
40,Cuba,77.97500000000001,57.5625,1.0,4.190666666666667,364.56385808368753,96.25,0.0,49.46249999999999,1.0,98.6875,6.428666666666667,93.9375,0.1,3180.4348844375,11056231.956521738,3.44375,3.268749999999999,0.7421250000000001,14.69375,Developing,10.26,11.620833333333332,68.75443587662338,38.784375,Americas
41,Cyprus,79.675,54.125,0.0,10.260666666666667,932.6673898875,92.625,1.9375,53.16249999999999,0.0,98.0,6.760000000000001,98.0,0.1,13898.88550125,390274.375,0.9062500000000002,1.0,0.8330625000000002,13.51875,Developed,9.59375,3.3775,97.07125,76.42625,Europe
42,Czechia,76.76875,71.8125,0.0,13.026000000000002,0.0,97.28571428571428,22.9375,55.71249999999999,0.0,98.0,7.05,98.125,0.1,14759.600598875568,7782217.683238637,1.99375,2.0625,0.7694268617021276,14.543351063829787,Developed,10.5775,12.520416666666668,97.094375,73.5475,Europe
43,Côte d'Ivoire,50.3875,417.3125,61.5,2.837333333333333,0.0,63.93333333333333,1708.25,21.325,86.8125,65.9375,5.723333333333333,68.9375,4.6875,1471.9199822852975,8305022.777936508,6.7375,6.6937500000000005,0.4455426136363636,9.055113636363636,Developing,25.145,19.983958333333334,34.553125,15.728312500000001,Africa
44,Democratic People's Republic of Korea,69.19375000000001,160.8125,9.9375,3.0000000000000004,0.0,88.84615384615384,222.5625,25.625,12.8125,98.25,4.0536666666666665,83.25,0.1,1422.099758808125,65379504.09375,5.437500000000001,5.45,0.54514375,10.773750000000001,Developing,23.13375,9.518958333333334,68.22749999999999,35.7871875,South-East Asia
45,Democratic Republic of the Congo,55.68749999999999,265.375,234.5,1.424,0.0,51.333333333333336,48922.6875,15.8375,323.5,55.625,3.5586666666666678,41.875,1.81875,1471.9199822852975,8305022.777936508,8.14375,7.956250000000001,0.4455426136363636,9.055113636363636,Developing,36.083125,14.019791666666668,12.97,18.813125,Africa
46,Denmark,79.25625000000001,66.0625,0.0,10.707999999999998,5313.33579445625,84.45190351976066,15.75,55.825,0.0,88.0,7.822666666666667,88.0,0.1,33067.407915625,4260081.375,1.1624999999999996,0.9375,0.8998749999999999,17.19375,Developed,6.1325,10.285208333333333,95.509375,87.82187499999999,Europe
47,Djibouti,60.75625,274.6875,1.4375,0.7639999999999999,98.838448121875,78.0,113.875,26.25,1.875,74.875,7.070666666666667,75.125,3.28125,897.9998706499999,634116.1875,5.84375,5.7,0.4184374999999999,4.750000000000001,Developing,26.584375,11.93125,68.72619791666666,28.2375,Eastern Mediterranean
48,Dominican Republic,72.34374999999999,143.5,6.4375,6.030666666666666,360.67899713687495,65.125,23.0,48.14375000000001,7.8125,75.625,4.681333333333334,83.1875,1.41875,3509.4991863125,4448642.6875,3.46875,3.3750000000000004,0.6849999999999999,12.74375,Developing,30.636875,5.62375,68.75443587662338,43.34714133522727,Americas
49,Ecuador,74.72500000000001,132.125,7.375,3.807333333333333,109.40605116625,78.0625,20.75,43.3125,8.75,78.75,5.879999999999999,89.1875,0.1937499999999999,2005.3524679375,8710592.0625,1.3812500000000003,1.26875,0.6988749999999999,13.0125,Developing,19.425625,9.515625,61.861875,40.71125,Americas
50,Egypt,71.5,170.625,56.25,0.1886666666666666,0.0,96.6875,1069.25,49.2625,67.625,96.6875,5.346,96.6875,0.1,8244.258282635765,15424546.5875,3.125,3.075,0.6476249999999999,11.89375,Developing,11.790625,3.671875,68.72619791666666,57.62,Eastern Mediterranean
51,El Salvador,71.74375,155.0625,2.5625,2.6926666666666668,341.5691573100001,86.0625,0.125,45.325,2.875,82.25,7.103333333333334,87.1875,0.2875,2517.8346304375,2930826.5,1.80625,1.725,0.6504375,12.656250000000002,Developing,27.785,7.5225,68.75443587662338,43.34714133522727,Americas
52,Equatorial Guinea,55.3125,279.375,3.0,7.341999999999999,552.671538039375,9.0,294.5,17.85625,4.0,36.875,2.9293333333333327,29.9375,5.1375,7902.4107885625,556765.3125,6.65625,6.599999999999999,0.5361875,8.325,Developing,20.855,15.235416666666666,20.582302631578948,15.728312500000001,Africa
53,Eritrea,60.6875,308.625,6.3125,0.608,6.4360693815625,86.42857142857143,175.0,15.15625,8.9375,87.8125,3.468666666666667,82.25,1.2125,259.3953562916667,2071919.3333333333,8.08125,8.01875,0.2553125,4.925000000000001,Developing,33.7475,21.095,20.582302631578948,15.728312500000001,Africa
54,Estonia,74.94375,169.6875,0.0,9.014666666666663,859.5750084284374,86.83333333333333,3.5,56.68125,0.0,94.25,5.687333333333333,94.125,0.1,8340.4329494375,791848.6875,2.075,2.1375,0.8233125,15.9375,Developing,11.954375,19.531875,95.055625,92.65625,Europe
55,Ethiopia,59.11250000000001,285.5625,187.75,1.0746666666666669,32.482109182375,64.11111111111111,3948.375,14.8,288.5,51.125,4.901333333333334,46.1875,2.725,264.97094995000003,43950760.75,8.38125,6.475,0.346125,6.8,Developing,24.731875,14.199583333333335,7.140625,3.931875,Africa
56,Fiji,68.7125,125.0,0.0,1.462666666666667,139.15683759693752,98.875,50.0,50.562500000000014,0.0,97.125,3.8973333333333335,91.6875,0.1,2947.6126888750005,650205.125,4.093750000000001,3.7937499999999993,0.7022499999999999,14.18125,Developing,10.27875,10.41625,55.21810267857143,56.17975961538461,Western Pacific
57,Finland,80.7125,68.875,0.0,9.552666666666669,2889.3154698925,84.45190351976066,2.8125,52.3,0.0,97.1875,8.614,98.25,0.1,25268.649758125,3493082.3125,0.9000000000000002,0.8062500000000001,0.8729374999999999,17.29375,Developing,6.568125,17.294999999999998,96.750625,81.91625,Europe
58,France,82.21875,73.125,2.9375,12.40466666666667,3751.506574133749,51.25,2661.625,51.98125,3.4375,98.25,6.555999999999999,98.0625,0.1,26465.551380625,27581733.125,0.6249999999999998,0.5999999999999999,0.8705624999999998,15.9,Developing,8.255,14.297708333333333,97.3775,79.0125,Europe
59,Gabon,62.243750000000006,220.4375,2.0,7.877333333333333,261.077778610625,57.63636363636363,349.8125,28.81875,3.0,57.25,3.1753333333333327,54.5,8.0,5179.2561886250005,1007302.3125,6.91875,6.775,0.6543749999999999,12.412500000000003,Developing,23.6975,16.57229166666667,20.582302631578948,15.728312500000001,Africa
60,Gambia,59.462500000000006,249.625,3.0,2.1346666666666665,0.0,95.375,41.25,20.300000000000004,5.6875,92.75,5.3086666666666655,88.5,2.34375,1471.9199822852975,8305022.777936508,7.5875,7.50625,0.4201875,8.125,Developing,26.38875,11.131041666666667,31.224375,36.715,Africa
61,Georgia,73.50625,114.9375,1.1875,5.623333333333334,99.5257140183125,77.25,1298.0,47.74375,1.25,81.1875,7.3306666666666676,83.5,0.1,2158.2808692812496,10152.375,2.75,2.89375,0.6779375,12.675,Developing,15.348125,7.102708333333333,63.565625,42.63,Europe
62,Germany,81.175,71.25,2.5,11.628666666666668,3900.8902608937497,77.4375,1497.1875,51.993750000000006,3.25,94.8125,4.073333333333333,89.875,0.1,24337.749100000005,38757347.4375,1.1187499999999997,1.1062499999999995,0.8945000000000001,16.6,Developed,6.374375,9.868333333333334,99.87875,96.27,Europe
63,Ghana,60.8625,180.0625,40.3125,1.2686666666666666,77.24912203487499,67.5,3419.75,21.725,59.8125,78.9375,4.328666666666667,73.875,2.2875,834.3761008125001,11534782.625,7.65,7.574999999999999,0.525875,9.512499999999998,Developing,24.5425,12.395208333333334,22.185625,7.4925,Africa
64,Greece,81.21875,73.625,0.1875,8.803333333333333,1759.24682044375,88.9375,24.875,58.681250000000006,0.4375,91.4375,9.038666666666668,96.625,0.1,16454.23587,1550208.4375,0.8125000000000001,0.7312500000000003,0.8423125,15.9375,Developing,14.528125,3.044583333333333,99.275,82.2925,Europe
65,Grenada,73.29375,153.75,0.0,8.843333333333334,363.84122981125,95.46666666666668,0.0,40.212500000000006,0.0,95.125,6.188666666666667,95.625,0.1,6259.5172613125,11056231.956521738,3.91875,3.93125,0.2331875,15.20625,Developing,7.035,2.0722916666666666,84.43375,43.34714133522727,Americas
66,Guatemala,71.73125,131.1875,13.125,2.268666666666667,334.0270480281251,87.0909090909091,0.0,40.44375,16.125,71.4375,6.593999999999999,85.5625,0.375,2365.83447375,5933907.5,1.3375,1.3375,0.5844374999999998,9.8625,Developing,10.26625,10.858125000000001,50.47,43.34714133522727,Americas
67,Guinea,56.0125,259.875,30.8125,0.1646666666666666,15.8912829451875,58.66666666666666,1522.0,17.46875,48.375,52.4375,4.009333333333333,47.875,2.19375,279.46479789375,4252798.9375,7.64375,7.624999999999999,0.3647499999999999,7.174999999999998,Developing,30.43375,12.026458333333332,20.582302631578948,15.728312500000001,Africa
68,Guinea-Bissau,55.36875,158.3125,4.5625,2.26,21.961644662687497,75.0,331.3125,19.43125,7.3125,74.75,5.870666666666668,65.25,4.818749999999999,384.2149305312501,981883.1875,7.500000000000001,7.38125,0.2541875,8.2875,Developing,31.3125,16.32375,20.105625,6.300625,Africa
69,Guyana,65.6375,203.9375,0.5625,7.406000000000001,187.76501795668756,88.2,0.0,36.38125,1.0,87.75,6.084,88.1875,1.0625,1783.8809370625002,494437.25,5.681250000000002,5.46875,0.6198125000000001,10.7875,Developing,25.310000000000002,37.44520833333333,68.75443587662338,43.34714133522727,Americas
70,Haiti,59.868750000000006,168.3125,17.0,5.486,36.129200178937495,40.66666666666666,71.9375,39.275,24.8125,53.8125,6.183333333333334,48.0,2.7375,434.36012815,3852657.6875,4.24375,4.2562500000000005,0.4620625,8.45,Developing,18.403125,12.440208333333333,68.75443587662338,43.34714133522727,Americas
71,Honduras,72.99374999999999,142.0,4.625,3.0420000000000003,192.11563525375,95.0625,0.0,39.74375,5.6875,95.375,8.147333333333332,95.625,0.81875,1421.7880825000002,2832386.5625,2.4000000000000004,2.3375000000000004,0.590125,10.8875,Developing,16.0075,3.2687500000000003,68.75443587662338,44.30625,Americas
72,Hungary,73.82499999999999,147.0625,0.5625,11.427333333333332,376.831080251,84.45190351976066,2.0625,56.931250000000006,0.875,98.9375,7.7686666666666655,99.0,0.1,8513.641831249997,1604902.25,1.9187500000000004,1.9125000000000003,0.8043125,15.11875,Developed,11.856875,20.383125,92.343125,71.643125,Europe
73,Iceland,82.44375000000001,49.375,0.0,7.466,4991.59530846875,84.45190351976066,0.0,51.075,0.0,89.75,8.546000000000001,89.75,0.1,30159.50290750001,186177.625,0.9562500000000002,0.9000000000000002,0.8853124999999998,18.156250000000004,Developed,6.44125,12.299583333333333,94.241875,57.533125,Europe
74,India,65.41874999999999,146.5625,1366.6875,1.942,33.2426210915625,35.0,46454.1875,14.79375,1812.5,69.625,4.358666666666666,67.0625,0.2562499999999999,837.9200509125001,421467690.9375,27.1,27.94375,0.5495000000000001,9.981250000000005,Developing,16.575,16.233541666666667,44.631375,20.48375,South-East Asia
75,Indonesia,67.55625,166.5625,151.1875,0.0686666666666667,83.76831559187498,73.5625,16244.9375,19.95625,186.625,62.1875,2.663333333333333,72.375,0.2,1669.116783075,116555259.4375,3.41875,3.94375,0.6414374999999999,11.6125,Developing,13.794375,3.16,44.631375,35.7871875,South-East Asia
76,Iran (Islamic Republic of),73.85624999999999,107.0,25.1875,0.016,0.0,97.75,2828.25,48.63125,29.6875,98.25,6.290000000000001,98.375,0.1,8244.258282635765,15424546.5875,7.768750000000001,7.956250000000001,0.715,12.656250000000002,Developing,31.495,6.332916666666667,91.873125,50.36647619047619,Eastern Mediterranean
77,Iraq,70.35625,136.75,31.1875,0.1346666666666666,120.663689503125,64.875,3454.375,48.59375,38.0,55.625,4.435833333333333,65.75,0.1,3542.5575372499998,18572840.8125,5.4,5.1625000000000005,0.6335,9.906249999999998,Developing,20.23125,5.319583333333333,53.815,36.80125,Eastern Mediterranean
78,Ireland,80.15,72.4375,0.0,12.654,4867.3126046875,86.83333333333333,174.5,53.6875,0.0,86.125,7.7286666666666655,86.125,0.1,33835.272005,3599794.5625,0.2999999999999999,0.2187499999999999,0.8915,17.65625,Developed,7.1775,11.226041666666667,95.129375,66.149375,Europe
79,Israel,81.3,59.5,0.9375,2.497333333333334,1467.5358269218748,97.4375,138.9375,54.98750000000001,1.0,94.25,7.4786666666666655,89.0,0.1,18860.476015625,27862.875,1.14375,1.1,0.8731875,15.7125,Developing,5.954375,5.8379166666666675,99.76625,85.5,Europe
80,Italy,82.1875,54.1875,2.0,8.266666666666667,2937.137654230625,95.5,1961.375,56.15,2.3125,96.125,8.777333333333333,94.75,0.1,21234.78237062501,27643788.9375,0.5125,0.525,0.8580625,15.93125,Developed,9.34625,5.154166666666667,95.729375,95.681875,Europe
81,Jamaica,74.29375,141.25,1.0,3.624,134.249450170875,83.15384615384616,0.1875,45.425,1.0,89.625,5.144000000000001,89.3125,1.2375,2509.546469625,1500309.125,1.88125,1.7374999999999998,0.7096250000000001,12.275,Developing,12.4725,2.0247916666666668,68.75443587662338,43.34714133522727,Americas
82,Japan,82.5375,57.125,2.875,7.040666666666667,3923.05032917375,79.3798076923077,6875.8125,25.60625,4.0,96.0,6.472666666666666,96.25,0.1,24892.544784375,97384.0625,1.8125,1.5437499999999995,0.8765624999999999,14.975,Developed,7.47125,18.03,98.04875,76.276875,Western Pacific
83,Jordan,72.9875,114.3125,4.0,0.5173333333333333,273.59953421875,97.0,26.5,52.99999999999999,4.0,97.125,8.781333333333333,97.0,0.1,1822.629925625,4895075.6875,3.8875,3.86875,0.729,13.237499999999995,Developing,23.124375,2.4697916666666666,60.940625,78.001875,Eastern Mediterranean
84,Kazakhstan,66.7625,232.0625,7.125,6.641333333333333,203.03090856000003,97.3125,1246.9375,45.15624999999999,8.0625,97.5,4.019333333333334,96.4375,0.1,4040.586664374999,8340547.4375,2.4375,2.5437500000000006,0.7450625,14.025,Developing,24.405625,34.172916666666666,73.929375,70.04477129629629,Europe
85,Kenya,57.48125,348.5625,65.875,1.602,61.65546434349999,74.57142857142857,2643.875,15.562500000000002,98.625,70.1875,4.668666666666667,70.5,8.7625,716.77006788125,16826787.625,8.4,8.2875,0.497125,9.96875,Developing,26.22625,13.103958333333333,20.582302631578948,15.728312500000001,Africa
86,Kiribati,65.14999999999999,129.4375,0.0,0.4406666666666667,77.12610334500002,75.1875,0.0,69.43125,0.0,75.25,5.728,74.9375,0.1,1175.29241553125,35919.9375,0.15625,0.1374999999999999,0.36375,11.69375,Developing,7.86,33.594375,11.4875,21.01375,Western Pacific
87,Kuwait,73.84375000000001,83.25,0.5,0.0213333333333333,1719.8409805812505,98.1875,15.375,59.60625,1.0,98.1875,2.809333333333333,98.5,0.1,31914.378339375,15424546.5875,3.2812500000000013,3.15625,0.7895,13.725,Developing,24.575625,2.439583333333333,100.0,100.0,Eastern Mediterranean
88,Kyrgyzstan,69.08125,173.6875,3.75,2.267333333333333,0.0,85.5625,1156.625,35.112500000000004,4.125,95.875,6.118666666666667,96.5625,0.1125,14759.600598875568,7782217.683238637,3.35625,3.4125,0.6220625000000001,12.3375,Developing,18.173125,13.879791666666668,54.03375,88.110625,Europe
